APYGARDOS_NR,APYGARDOS_PAVADINIMAS,APYLINKES_NR,APYLINKES_PAVADINIMAS,RINKEJU_SKAICIUS,VISO_DALYVAVO,BALSADEZEJE_GALIOJANTYS,BALSADEZEJE_NEGALIOJANTYS,PASTU_GALIOJANTYS,PASTU_NEGALIOJANTYS,VARDAS,PAVARDE,PARTIJA,BALSU_BALSADEZEJE,BALSU_PASTU,BALSU_VISO,PAPILDOMO_PROTOKOLO_POZYMIS,RKND_V_AR_ISSIKELE_PATS,RPL_UNIKALUS_NUMERIS,SAV,Sugeneravimo data
1,Akmenės rajono,12,Kruopių,500,298,242,2,54,0,VALENTINAS,MAZURONIS,,1,0,1,,T,1012,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,12,Kruopių,500,298,242,2,54,0,VALDEMAR,TOMAŠEVSKI,,0,1,1,,T,1012,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,14,Šapnagių,201,99,74,1,23,1,GITANAS,NAUSĖDA,,31,9,40,,T,1014,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,14,Šapnagių,201,99,74,1,23,1,SAULIUS,SKVERNELIS,,22,6,28,,T,1014,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,14,Šapnagių,201,99,74,1,23,1,INGRIDA,ŠIMONYTĖ,,14,1,15,,T,1014,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,14,Šapnagių,201,99,74,1,23,1,VYTENIS POVILAS,ANDRIUKAITIS,,3,6,9,,T,1014,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,14,Šapnagių,201,99,74,1,23,1,MINDAUGAS,PUIDOKAS,,2,1,3,,T,1014,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,14,Šapnagių,201,99,74,1,23,1,VALENTINAS,MAZURONIS,,1,0,1,,T,1014,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,14,Šapnagių,201,99,74,1,23,1,ARVYDAS,JUOZAITIS,,1,0,1,,T,1014,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,14,Šapnagių,201,99,74,1,23,1,VALDEMAR,TOMAŠEVSKI,,0,0,0,,T,1014,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,14,Šapnagių,201,99,74,1,23,1,NAGLIS,PUTEIKIS,,0,0,0,,T,1014,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,15,Pavenčio,1342,617,522,6,89,0,SAULIUS,SKVERNELIS,,179,36,215,,T,1015,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,15,Pavenčio,1342,617,522,6,89,0,GITANAS,NAUSĖDA,,153,17,170,,T,1015,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,15,Pavenčio,1342,617,522,6,89,0,INGRIDA,ŠIMONYTĖ,,81,25,106,,T,1015,Akmenės rajono savivaldybė,2019-05-16 15:45
